25276578;38.61516;-9.120743;-0.159187;0.6739616
25276579;38.61274;-9.1148;-0.1590833;0.6739194
25276582;38.61031;-9.108865;-0.1589797;0.6738769
25276586;38.6069;-9.101195;-0.1588458;0.6738176
25276588;38.60448;-9.097518;-0.1587816;0.6737753
25390844;38.88574;-9.057812;-0.1580886;0.6786842
25390845;38.8856;-9.057679;-0.1580863;0.6786817
25390853;38.8868;-9.055561;-0.1580494;0.6787028
25391082;38.88776;-9.054804;-0.1580361;0.6787195
25391083;38.88742;-9.054472;-0.1580303;0.6787135
25391086;38.88846;-9.05334;-0.1580106;0.6787316
25391091;38.88865;-9.053612;-0.1580153;0.6787349
25391095;38.89046;-9.051559;-0.1579795;0.6787666
25391101;38.89036;-9.051439;-0.1579774;0.6787648
25391231;38.89099;-9.051006;-0.1579699;0.6787758
25391232;38.89091;-9.050884;-0.1579677;0.6787745
25396618;38.86948;-9.07108;-0.1583202;0.6784003
25396619;38.86957;-9.071207;-0.1583224;0.6784019
25396620;38.8705;-9.069868;-0.1582991;0.6784182
25396621;38.87058;-9.070003;-0.1583014;0.6784196
25396622;38.87173;-9.068753;-0.1582796;0.6784396
25396623;38.87179;-9.068896;-0.1582821;0.6784407
25396624;38.875;-9.066435;-0.1582391;0.6784967
25396625;38.87506;-9.066586;-0.1582418;0.6784979
25396626;38.86892;-9.072246;-0.1583406;0.6783907
25396627;38.86881;-9.072145;-0.1583388;0.6783888
25396628;38.86819;-9.073569;-0.1583637;0.6783779
25396629;38.86808;-9.073477;-0.158362;0.6783759
25396630;38.86749;-9.075213;-0.1583924;0.6783657
25396631;38.86737;-9.075128;-0.1583908;0.6783637
25396632;38.86673;-9.076804;-0.1584201;0.6783525
25396633;38.86662;-9.076709;-0.1584184;0.6783504
25396634;38.86625;-9.077692;-0.1584356;0.678344
25396635;38.86613;-9.077592;-0.1584339;0.678342
25396636;38.86559;-9.078598;-0.1584514;0.6783325
25396637;38.8655;-9.078465;-0.1584491;0.678331
25396638;38.86485;-9.079406;-0.1584655;0.6783195
25396639;38.86477;-9.079268;-0.1584631;0.6783181
25396640;38.86409;-9.080078;-0.1584773;0.6783063
25396641;38.86402;-9.07993;-0.1584747;0.6783051
25396642;38.86312;-9.080741;-0.1584888;0.6782894
25396643;38.86306;-9.080583;-0.1584861;0.6782884
25396644;38.86182;-9.081352;-0.1584995;0.6782666
25396645;38.86177;-9.081189;-0.1584966;0.6782659
25396646;38.85806;-9.082901;-0.1585265;0.6782011
25396647;38.85802;-9.082737;-0.1585237;0.6782004
25396648;38.85648;-9.083601;-0.1585387;0.6781735
25396649;38.85643;-9.083439;-0.1585359;0.6781727
25396650;38.85531;-9.084228;-0.1585497;0.678153
25396651;38.85526;-9.08407;-0.1585469;0.6781521
25396652;38.85383;-9.085191;-0.1585665;0.6781273
25396653;38.85379;-9.085068;-0.1585643;0.6781266
25396654;38.85078;-9.087445;-0.1586058;0.6780741
25396655;38.85076;-9.087326;-0.1586038;0.6780736
25396656;38.84455;-9.092096;-0.158687;0.6779652
